polyname,bound1,bound2,bound3,bound4,iso,adm1,adm2,thresh,loss_year,area
wdpa,1,1,1,1,BRA,12,9,30,5,9877.82923655
landmark,1,1,1,1,BRA,12,9,30,11,2282.35099627
wdpa,1,1,1,1,BRA,12,9,75,16,21902714.6586
ifl_2013,1,1,1,1,BRA,12,9,75,6,1334426.72018
ifl_2013,1,1,1,1,BRA,12,9,30,13,5325.42987642
admin,1,1,1,1,BRA,12,9,30,2,2005555.0122900002
landmark,1,1,1,1,BRA,12,9,0,7,2279.67748502
ifl_2013__wdpa,1,1,1,1,BRA,12,9,50,6,16743.7343667
ifl_2013__landmark,1,1,1,1,BRA,12,9,50,17,44089.795433499996
ifl_2013__wdpa,1,1,1,1,BRA,12,9,25,4,1522.03578098
landmark,1,1,1,1,BRA,12,9,25,8,8359.91890251
ifl_2013__landmark,1,1,1,1,BRA,12,9,30,17,6841.67092826
admin,1,1,1,1,BRA,12,9,75,11,21617560.4006
landmark,1,1,1,1,BRA,12,9,50,2,2257770.11125
admin,1,1,1,1,BRA,12,9,30,8,331013.949442
wdpa,1,1,1,1,BRA,12,9,30,2,751564.9558689999
wdpa,1,1,1,1,BRA,12,9,50,16,169565.115988
ifl_2013__landmark,1,1,1,1,BRA,12,9,50,4,20545.784822999998
wdpa,1,1,1,1,BRA,12,9,0,3,4560.1614457
landmark,1,1,1,1,BRA,12,9,25,6,3799.33690422
ifl_2013,1,1,1,1,BRA,12,9,0,3,760.694702593
ifl_2013__landmark,1,1,1,1,BRA,12,9,50,2,2284.83347206
ifl_2013,1,1,1,1,BRA,12,9,15,4,761.025414068
ifl_2013__landmark,1,1,1,1,BRA,12,9,50,10,13686.034693200001
wdpa,1,1,1,1,BRA,12,9,25,14,1520.76327827
wdpa,1,1,1,1,BRA,12,9,50,15,83665.0738168
admin,1,1,1,1,BRA,12,9,0,13,1149860.52305
landmark,1,1,1,1,BRA,12,9,20,4,9119.33784548
wdpa,1,1,1,1,BRA,12,9,30,12,3801.87723587
ifl_2013__landmark,1,1,1,1,BRA,12,9,50,5,3041.57296753
ifl_2013__wdpa,1,1,1,1,BRA,12,9,25,14,760.985582362
wdpa,1,1,1,1,BRA,12,9,0,11,760.581043007
ifl_2013,1,1,1,1,BRA,12,9,0,16,5329.62306149
ifl_2013,1,1,1,1,BRA,12,9,50,15,76063.07296810001
ifl_2013__wdpa,1,1,1,1,BRA,12,9,20,14,761.014736849
admin,1,1,1,1,BRA,12,9,15,5,37185.9316835
wdpa,1,1,1,1,BRA,12,9,20,4,9119.33784548
admin,1,1,1,1,BRA,12,9,50,14,1286055.0622399999
wdpa,1,1,1,1,BRA,12,9,75,3,51470228.6241
ifl_2013__landmark,1,1,1,1,BRA,12,9,15,17,760.199540289
ifl_2013__wdpa,1,1,1,1,BRA,12,9,75,16,16332688.2389
ifl_2013__landmark,1,1,1,1,BRA,12,9,75,17,16327939.4275
ifl_2013__wdpa,1,1,1,1,BRA,12,9,75,17,16327939.4275
landmark,1,1,1,1,BRA,12,9,75,15,4070138.85425
ifl_2013__landmark,1,1,1,1,BRA,12,9,30,16,26623.986884
landmark,1,1,1,1,BRA,12,9,0,8,18997.147942900003
ifl_2013__landmark,1,1,1,1,BRA,12,9,30,9,1519.70544437
admin,1,1,1,1,BRA,12,9,30,9,233056.354833
ifl_2013__landmark,1,1,1,1,BRA,12,9,25,13,761.123612945
ifl_2013__wdpa,1,1,1,1,BRA,12,9,30,10,1521.64584474
ifl_2013__wdpa,1,1,1,1,BRA,12,9,10,16,760.171033474
wdpa,1,1,1,1,BRA,12,9,75,2,58021494.5318
ifl_2013__wdpa,1,1,1,1,BRA,12,9,75,7,1434704.13895
ifl_2013,1,1,1,1,BRA,12,9,75,7,1449897.94094
landmark,1,1,1,1,BRA,12,9,15,2,68393.67380240001
wdpa,1,1,1,1,BRA,12,9,0,6,21276.5269276
admin,1,1,1,1,BRA,12,9,75,16,65647218.7674
wdpa,1,1,1,1,BRA,12,9,15,16,759.855572043
wdpa,1,1,1,1,BRA,12,9,75,9,5105467.71165
landmark,1,1,1,1,BRA,12,9,50,10,106413.496799
wdpa,1,1,1,1,BRA,12,9,15,1,7598.7509448
landmark,1,1,1,1,BRA,12,9,25,16,3801.80316928
wdpa,1,1,1,1,BRA,12,9,25,6,3799.33690422
wdpa,1,1,1,1,BRA,12,9,25,5,761.0050243439999
ifl_2013,1,1,1,1,BRA,12,9,75,17,16327939.4275
landmark,1,1,1,1,BRA,12,9,75,11,5336582.07661
wdpa,1,1,1,1,BRA,12,9,30,14,11414.984706399999
ifl_2013__wdpa,1,1,1,1,BRA,12,9,30,6,3044.31945439
landmark,1,1,1,1,BRA,12,9,10,10,1519.69663408
landmark,1,1,1,1,BRA,12,9,75,13,2353204.49728
ifl_2013__landmark,1,1,1,1,BRA,12,9,50,9,2282.53854854
ifl_2013,1,1,1,1,BRA,12,9,25,14,760.985582362
ifl_2013__landmark,1,1,1,1,BRA,12,9,30,11,760.9232160810001
landmark,1,1,1,1,BRA,12,9,15,1,7598.7509448
admin,1,1,1,1,BRA,12,9,50,10,1459811.30883
admin,1,1,1,1,BRA,12,9,0,17,4079213.1378
admin,1,1,1,1,BRA,12,9,30,6,323441.640296
ifl_2013,1,1,1,1,BRA,12,9,50,13,27379.297644700004
wdpa,1,1,1,1,BRA,12,9,20,16,1521.08168322
admin,1,1,1,1,BRA,12,9,50,11,376548.874361
admin,1,1,1,1,BRA,12,9,25,12,34911.7299443
ifl_2013__landmark,1,1,1,1,BRA,12,9,50,1,1523.85389741
wdpa,1,1,1,1,BRA,12,9,50,11,25861.267822
ifl_2013__wdpa,1,1,1,1,BRA,12,9,50,5,3041.57296753
wdpa,1,1,1,1,BRA,12,9,75,6,11637629.9335
ifl_2013__wdpa,1,1,1,1,BRA,12,9,75,15,3017889.92697
ifl_2013__landmark,1,1,1,1,BRA,12,9,30,8,5325.5214237
landmark,1,1,1,1,BRA,12,9,0,1,16717.6633665
landmark,1,1,1,1,BRA,12,9,15,16,759.855572043
admin,1,1,1,1,BRA,12,9,75,2,229181589.70700002
ifl_2013,1,1,1,1,BRA,12,9,75,13,1354939.8497
landmark,1,1,1,1,BRA,12,9,30,13,6085.74552838
admin,1,1,1,1,BRA,12,9,30,13,299041.285357
ifl_2013__wdpa,1,1,1,1,BRA,12,9,75,13,1354180.10794
admin,1,1,1,1,BRA,12,9,50,9,534369.650156
admin,1,1,1,1,BRA,12,9,15,9,12145.0895741
wdpa,1,1,1,1,BRA,12,9,50,8,83597.2837133
landmark,1,1,1,1,BRA,12,9,50,5,68398.9342806
ifl_2013__wdpa,1,1,1,1,BRA,12,9,30,9,1519.70544437
wdpa,1,1,1,1,BRA,12,9,15,4,8360.26166388
wdpa,1,1,1,1,BRA,12,9,20,6,1519.66343946
wdpa,1,1,1,1,BRA,12,9,50,1,453699.40181300003
landmark,1,1,1,1,BRA,12,9,0,17,3043.94172732
admin,1,1,1,1,BRA,12,9,10,11,9868.04752796
ifl_2013__wdpa,1,1,1,1,BRA,12,9,75,6,1331387.6130899999
landmark,1,1,1,1,BRA,12,9,50,9,3805.55737186
admin,1,1,1,1,BRA,12,9,25,4,55413.560393800006
admin,1,1,1,1,BRA,12,9,10,1,140437.229959
landmark,1,1,1,1,BRA,12,9,0,16,91373.096078
wdpa,1,1,1,1,BRA,12,9,20,2,39518.952645
wdpa,1,1,1,1,BRA,12,9,10,14,2285.52574855
admin,1,1,1,1,BRA,12,9,75,7,90253916.7346
admin,1,1,1,1,BRA,12,9,25,8,37960.3384049
landmark,1,1,1,1,BRA,12,9,0,4,22802.335477200002
wdpa,1,1,1,1,BRA,12,9,15,6,3039.58682965
admin,1,1,1,1,BRA,12,9,75,10,98296490.3201
wdpa,1,1,1,1,BRA,12,9,20,14,761.014736849
landmark,1,1,1,1,BRA,12,9,50,16,174883.81073199998
landmark,1,1,1,1,BRA,12,9,50,1,453699.40181300003
landmark,1,1,1,1,BRA,12,9,20,10,2279.58587919
ifl_2013,1,1,1,1,BRA,12,9,50,7,12168.919527
ifl_2013__wdpa,1,1,1,1,BRA,12,9,0,16,5329.62306149
ifl_2013__landmark,1,1,1,1,BRA,12,9,30,15,9887.92624602
landmark,1,1,1,1,BRA,12,9,0,13,2284.68359626
landmark,1,1,1,1,BRA,12,9,20,15,759.866967155
ifl_2013,1,1,1,1,BRA,12,9,50,2,2284.83347206
landmark,1,1,1,1,BRA,12,9,0,5,1519.59127108
admin,1,1,1,1,BRA,12,9,0,11,303618.921072
ifl_2013__wdpa,1,1,1,1,BRA,12,9,75,4,1237940.6256
landmark,1,1,1,1,BRA,12,9,50,3,218872.321223
wdpa,1,1,1,1,BRA,12,9,15,5,1519.63957552
ifl_2013,1,1,1,1,BRA,12,9,30,17,6841.67092826
landmark,1,1,1,1,BRA,12,9,30,1,108672.122647
wdpa,1,1,1,1,BRA,12,9,50,14,73818.12578189999
ifl_2013,1,1,1,1,BRA,12,9,50,4,20545.784822999998
ifl_2013__landmark,1,1,1,1,BRA,12,9,50,16,139155.41633399998
landmark,1,1,1,1,BRA,12,9,15,12,759.8509084310001
landmark,1,1,1,1,BRA,12,9,15,10,8359.71449752
admin,1,1,1,1,BRA,12,9,20,6,21256.2071852
admin,1,1,1,1,BRA,12,9,15,3,53124.4317513
ifl_2013__landmark,1,1,1,1,BRA,12,9,50,13,27379.297644700004
landmark,1,1,1,1,BRA,12,9,0,11,760.581043007
admin,1,1,1,1,BRA,12,9,75,8,55834736.3973
ifl_2013,1,1,1,1,BRA,12,9,75,11,1051903.5883
